,Req. dev. cycle (mean),Req. dev. cycle (std),Req. dev. cycle (90%),Req. dev. cycle (max),5 cycle perf.,10 cycle perf.,normalized (MAE),normalized (MSE),R^2,Batch size,Algorithm,Utlity function,Ïƒ factor,qant. (distance utility),# SL runs,Initial sample,# of samples in the DS,# Features,# Targets,Target threshold,Features name,Targets name,A-priori information,Req. experiments (list)
0,10.04,7.789634137749989,21.400000000000006,26.0,"0    0.722563
dtype: float64","0    0.811592
dtype: float64",0.7938364806046019,1.0494498141339743,-0.08629390672337003,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,4,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],[],"[ 1. 17.  4.  6.  3.  5.  5.  2. 13. 23.  1.  1.  5. 13. 19. 26. 15. 14.
  5. 15.  4.  7.  4. 18. 25.]"
1,8.68,6.528215682711472,17.6,28.0,"0    0.724342
dtype: float64","0    0.830678
dtype: float64",0.8449616584396276,1.1853296120378451,-0.25724122633178614,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,4,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],[],"[ 2.  6.  5.  9.  3. 18. 16.  1.  2. 28.  4. 17.  6.  2. 18.  7. 15.  7.
 10.  6.  3.  8.  8.  4. 12.]"
2,8.64,6.656605741667446,15.600000000000001,28.0,"0    0.74273
dtype: float64","0    0.762561
dtype: float64",0.8377009958837227,1.6759839948043773,-0.5519793052757386,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,20,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],[],"[ 8. 10. 13. 15. 18.  1.  3.  2.  2.  4. 13.  3.  9.  3. 13.  1. 28.  1.
 15. 16.  8.  3. 11.  4. 12.]"
3,5.92,4.048901085479862,11.600000000000001,15.0,"0    0.771272
dtype: float64","0    0.806669
dtype: float64",0.7314611819430763,0.98109131025054,0.023657799674578917,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,20,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],[],"[ 4. 11.  6.  2. 11.  6.  8.  4.  1.  4.  1.  5.  3.  7.  3.  1.  1. 12.
  5. 10. 15.  3.  5. 14.  6.]"
4,1.32,0.5455272678794342,2.0,3.0,1.0,1.0,0.7467371228419464,0.9126402068919457,0.0419504105462606,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,4,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[2. 1. 2. 1. 1. 3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 2. 1. 1. 1. 2. 2. 1. 1.
 2.]"
5,1.68,1.085172797300043,3.0,5.0,"0    0.982923
dtype: float64",1.0,0.8987109423165375,1.3379931509684342,-0.3986841134265561,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,4,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[1. 1. 1. 3. 4. 3. 2. 1. 1. 1. 1. 1. 1. 1. 1. 2. 2. 3. 1. 1. 1. 1. 2. 5.
 1.]"
6,1.04,0.19595917942265426,1.0,2.0,1.0,1.0,0.7182976260197073,0.8808195282796529,0.08050241751061227,1,Statistics based model (Gaussian Process Regression),MLI (explore & exploit),2.0,0,25,20,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 2. 1. 1. 1.
 1.]"
7,1.52,1.0244998779892558,2.6000000000000014,5.0,"0    0.982595
dtype: float64",1.0,0.7091152667869511,0.85271491666398,0.10481791628416444,1,AI-Model (lolo Random Forrest),MLI (explore & exploit),2.0,0,25,20,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[1. 1. 2. 1. 2. 1. 1. 1. 1. 1. 4. 1. 1. 1. 3. 2. 1. 1. 2. 1. 1. 1. 1. 5.
 1.]"
8,11.08,6.541681740959277,20.0,24.0,"0    0.731908
dtype: float64","0    0.83393
dtype: float64",0.7380483789592753,0.922931124914038,0.022400332498906005,1,Gauss with PCA,MLI (explore & exploit),2.0,0,25,4,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],[],"[10.  4. 19. 20.  8. 15.  4.  6.  7.  7.  2.  8.  3. 15. 17. 20.  1. 20.
 12.  7.  7. 24. 18. 15.  8.]"
9,9.32,9.4772147807254,23.200000000000003,38.0,"0    0.784754
dtype: float64","0    0.878932
dtype: float64",0.8115346118293677,1.1313707868006986,-0.2094349882865961,1,RF with PCA,MLI (explore & exploit),2.0,0,25,4,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],[],"[ 4. 24.  4.  2.  1.  6.  8.  7.  6.  2.  3.  5. 18. 15.  7.  1. 38.  2.
  8. 13.  2.  5.  2. 22. 28.]"
10,11.2,5.885575587824865,18.0,20.0,"0    0.722672
dtype: float64","0    0.753859
dtype: float64",0.7533923964966485,1.1905123988887372,-0.12719343253065044,1,Gauss with PCA,MLI (explore & exploit),2.0,0,25,20,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],[],"[ 5. 12. 18. 12. 12.  2. 17. 20.  1. 17. 12. 18. 18. 14.  2.  6.  2.  3.
 16. 13. 13. 12. 11.  7. 17.]"
11,6.36,5.9858499814145025,11.600000000000001,25.0,"0    0.810564
dtype: float64","0    0.867521
dtype: float64",0.7332207296797328,0.9873397470312568,-0.018936702678325,1,RF with PCA,MLI (explore & exploit),2.0,0,25,20,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],[],"[ 2.  3.  1.  1.  7.  3.  8.  5.  7.  1. 23.  2. 12.  6.  7.  3. 11.  6.
  2.  2.  5.  3. 25.  8.  6.]"
12,1.04,0.19595917942265428,1.0,2.0,1.0,1.0,0.736363143981277,0.9255880060916134,0.01982611767057053,1,Gauss with PCA,MLI (explore & exploit),2.0,0,25,4,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[1. 1. 1. 1. 1. 1. 1. 1. 1. 2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1.]"
13,2.08,1.3541048703848606,4.200000000000003,6.0,"0    0.944286
dtype: float64",1.0,0.8822790655264928,1.2789985825646624,-0.3437193032471042,1,RF with PCA,MLI (explore & exploit),2.0,0,25,4,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[1. 1. 1. 2. 2. 1. 2. 2. 1. 1. 2. 1. 5. 2. 6. 1. 1. 3. 2. 2. 5. 2. 3. 1.
 2.]"
14,1.04,0.19595917942265426,1.0,2.0,1.0,1.0,0.7243470300583971,1.0034031214554622,-0.008673274488173064,1,Gauss with PCA,MLI (explore & exploit),2.0,0,25,20,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 2. 1. 1. 1. 1. 1. 1.
 1.]"
15,2.64,1.7861690849412883,5.0,8.0,"0    0.931353
dtype: float64",1.0,0.7770797934162702,1.0110812668180742,-0.002938096180308949,1,RF with PCA,MLI (explore & exploit),2.0,0,25,20,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[1. 1. 5. 3. 2. 5. 4. 1. 2. 2. 5. 1. 1. 1. 4. 2. 4. 4. 1. 3. 1. 1. 2. 8.
 2.]"
